uid,page,pagepdf,name,region,depto,muni,deptos,ings,instruc,dificultad,raciones_min,raciones_max,tiempo,tiempo_mins,tiempo_dias,line_original
aguardiente-con-hojas-de-brevo,74,74,Aguardiente con hojas de brevo,Antioquia y Viejo Caldas,Antioquia,NA,NA,NA,"Se destapa una botella de aguardiente y se le introducen hojas de brevo frescas en- teras, se tapa y se deja conservar por 2 me­ses.",1,NA,NA,5 minutos,5,NA,"Aguardiente con hojas de brevo Antioquia Grado de dificultad * | Tiempo de preparación: 5 minutos Se destapa una botella de aguardiente y se le introducen hojas de brevo frescas en- teras, se tapa y se deja conservar por 2 me­ses."
aji-de-aguacate,296,382,Ají de aguacate,Boyacá y Cundinamarca,Cundinamarca,NA,NA,"2 aguacates, pelados y picados · ½ taza de ají de yerbas [ver p. 382] · 1 limón (jugo) · 2 huevos duros, picados (opcional).","Se mezcla todo con una cuchara de palo y se sirve. Debe guardarse en recipiente de vidrio en el refrigerador, cuidando que no queden burbujas de aire.",1,NA,NA,5 minutos,5,NA,"Ají de aguacate Cundinamarca Grado de dificultad * | Tiempo de preparación: 5 minutos 2 aguacates, pelados y picados · ½ taza de ají de yerbas [ver p. 382] · 1 limón (jugo) · 2 huevos duros, picados (opcional). Se mezcla todo con una cuchara de palo y se sirve. Debe guardarse en recipiente de vidrio en el refrigerador, cuidando que no queden burbujas de aire."
aji-de-cidrallota-o-de-aguacate,158,158,Ají de cidrallota [o de aguacate],"Valle, Cauca y Nariño",Valle,NA,NA,"2 cidrallotas peladas, cocidas y picadas finas (o aguacates pelados y picados) · 6 ajíes, majados · 4 tallos de cebolla larga, picada fina · ½ taza de vinagre · 2 cucharadas de cilantro, picado fino · 1 cu­charada de jugo de limón · 3 huevos duros, picados · sal y pimienta a gusto.","Se ponen los ajíes a marinar en el vinagre. Luego se sacan y se añaden mezclando los demás ingrediente, se re­vuelve suavemente y se deja reposar. Apetitoso acompa- ñante de muchos platos.",1,8,10,1 hora,60,NA,"Ají de cidrallota [o de aguacate] Va l l e Grado de dificultad * | Tiempo de preparación: 1 hora | Raciones: 8 a 10 2 cidrallotas peladas, cocidas y picadas finas (o aguacates pelados y picados) · 6 ajíes, majados · 4 tallos de cebolla larga, picada fina · ½ taza de vinagre · 2 cucharadas de cilantro, picado fino · 1 cu­charada de jugo de limón · 3 huevos duros, picados · sal y pimienta a gusto. Se ponen los ajíes a marinar en el vinagre. Luego se sacan y se añaden mezclando los demás ingrediente, se re­vuelve suavemente y se deja reposar. Apetitoso acompa- ñante de muchos platos."
aji-de-huevo,296,382,Ají de huevo,Boyacá y Cundinamarca,Cundinamarca,NA,NA,4 huevos duros · 1 cucharada de cilantro y perejil picados finos · 2 ajíes piques · 2 cucharadas de vinagre · ½ cucharadita de limón · sal y pimienta a gusto.,"Se ponen a marinar los ajíes piques en el vinagre y el jugo de limón por 1 hora, luego se sacan los ajíes y se incorporan el vinagre con las hierbas, sal y pimienta. Se pican los huevos y se mez­clan bien. Se sirve para acompañar sopas, carnes y ensala­das.",1,8,10,1½ hora,90,NA,"Ají de huevo Cundinamarca Grado de dificultad * | Tiempo de preparación: 1½ hora | Raciones: 8 a 10 4 huevos duros · 1 cucharada de cilantro y perejil picados finos · 2 ajíes piques · 2 cucharadas de vinagre · ½ cucharadita de limón · sal y pimienta a gusto. Se ponen a marinar los ajíes piques en el vinagre y el jugo de limón por 1 hora, luego se sacan los ajíes y se incorporan el vinagre con las hierbas, sal y pimienta. Se pican los huevos y se mez­clan bien. Se sirve para acompañar sopas, carnes y ensala­das."
aji-de-mani,159,159,Ají de maní,"Valle, Cauca y Nariño",Cauca,NA,NA,"6 ajíes piques, majados · ½ libra (250 gr) de maní, tostado y mo­lido · 1 tomate maduro, pelado y picado · 2 tallos de cebolla larga, picada fina · 1 cucharada de cilantro, picado · ½ taza de caldo bá­sico [ver p. 152]· 1 huevo duro picado · jugo de limón · sal a gusto.","Se mezclan el caldo y el maní, se revuelven y se les añade el resto de los ingredientes, se baten bien y se amasan. Debe quedar una pasta suave, con la que se hacen bolas (es la forma de guardarlo o de comprarlo en el mercado) o se deja un poco aguada, como colada gruesa. Se conserva y se sirve en recipientes de vidrio o de madera.",1,8,10,10 minutos,10,NA,"Ají de maní Cauca Grado de dificultad * | Tiempo de preparación: 10 minutos | Raciones: 8 a 10 6 ajíes piques, majados · ½ libra (250 gr) de maní, tostado y mo­lido · 1 tomate maduro, pelado y picado · 2 tallos de cebolla larga, picada fina · 1 cucharada de cilantro, picado · ½ taza de caldo bá­sico [ver p. 152]· 1 huevo duro picado · jugo de limón · sal a gusto. Se mezclan el caldo y el maní, se revuelven y se les añade el resto de los ingredientes, se baten bien y se amasan. Debe quedar una pasta suave, con la que se hacen bolas (es la forma de guardarlo o de comprarlo en el mercado) o se deja un poco aguada, como colada gruesa. Se conserva y se sirve en recipientes de vidrio o de madera."
aji-de-queso,159,159,Ají de queso,"Valle, Cauca y Nariño",Nariño,NA,NA,"2 libras (1 kg) de papas pastusas, peladas y picadas en cuadritos · 2 tazas de queso blanco, rallado · 3 tazas de leche · 4 huevos batidos · 2 cucharadas de manteca de cerdo o aceite · 4 tallos de cebolla larga, picada · 1 cucharada de azafrán (color) · hojas de lechuga · 2 huevos duros cortados en rodajas · 2 aguacates pelados y cortados en tajadas · sal a gusto.","Se cocinan las papas en aguasal hasta que estén blandas (por 25 minutos). Se sofríe en la manteca de cerdo o en el aceite la cebolla, y se le añade el color. Se pone una cacerola con la leche, el queso, las papas y el sofrito a cocinar a fuego lento revol- viendo constantemente con cuchara de palo, por unos 15 minutos. Cuando seque un poco se le agregan los huevos batidos, poco a poco, revolviendo, hasta que se forme un guiso. Se toman porciones y se sirven sobre hojas de lechuga, adornándolas con las rebanadas de huevo duro y el aguacate.",2,6,8,50 minutos,50,NA,"Ají de queso Nariño Grado de dificultad ** | Tiempo de cocción: 50 minutos | Raciones: 6 a 8 2 libras (1 kg) de papas pastusas, peladas y picadas en cuadritos · 2 tazas de queso blanco, rallado · 3 tazas de leche · 4 huevos batidos · 2 cucharadas de manteca de cerdo o aceite · 4 tallos de cebolla larga, picada · 1 cucharada de azafrán (color) · hojas de lechuga · 2 huevos duros cortados en rodajas · 2 aguacates pelados y cortados en tajadas · sal a gusto. Se cocinan las papas en aguasal hasta que estén blandas (por 25 minutos). Se sofríe en la manteca de cerdo o en el aceite la cebolla, y se le añade el color. Se pone una cacerola con la leche, el queso, las papas y el sofrito a cocinar a fuego lento revol- viendo constantemente con cuchara de palo, por unos 15 minutos. Cuando seque un poco se le agregan los huevos batidos, poco a poco, revolviendo, hasta que se forme un guiso. Se toman porciones y se sirven sobre hojas de lechuga, adornándolas con las rebanadas de huevo duro y el aguacate."
aji-de-yerbas,296,382,Ají de yerbas,Boyacá y Cundinamarca,Cundinamarca,NA,NA,"2 tallos de cebolla larga, picados · 1 cebolla cabezona, pelada y picada · 2 cucharadas de cilantro, picado · ½ cucharada de perejil · 1 tomate, pelado y picado · 4 ajíes, majados · 1 taza de vinagre · sal y pimienta a gusto.","Los ajíes se ponen en vinagre durante 30 minutos, para que el vinagre tome el sabor del ají. Mientras tanto, se pican finos todos los demás ingredientes. Se sacan los ajíes y se tiran. En este mismo vinagre se pone todo el picadillo, revolviendo para que no queden burbujas de aire. Se puede conservar re­frigerado, varios días. Es recomen- dable utilizar vasijas de vidrio y cuchara de palo.",1,8,10,45 minutos,45,NA,"Ají de yerbas Cundinamarca Grado de dificultad * | Tiempo de preparación: 45 minutos | Raciones: 8 a 10 2 tallos de cebolla larga, picados · 1 cebolla cabezona, pelada y picada · 2 cucharadas de cilantro, picado · ½ cucharada de perejil · 1 tomate, pelado y picado · 4 ajíes, majados · 1 taza de vinagre · sal y pimienta a gusto. Los ajíes se ponen en vinagre durante 30 minutos, para que el vinagre tome el sabor del ají. Mientras tanto, se pican finos todos los demás ingredientes. Se sacan los ajíes y se tiran. En este mismo vinagre se pone todo el picadillo, revolviendo para que no queden burbujas de aire. Se puede conservar re­frigerado, varios días. Es recomen- dable utilizar vasijas de vidrio y cuchara de palo."
aji-pique,159,159,Ají pique,"Valle, Cauca y Nariño",Valle,NA,NA,"10 ajíes majados · ¼ libra (125 gr) de cebolla cabezona, picada fina · 2 tallos de cebolla larga, picada fina · ½ taza de cilantro de Castilla, picado fino · 2 tazas de vinagre · 2 cucharadas de jugo de limón (o naranja agria) · 2 cucharadas de aceite (preferiblemente de oliva) · sal y pimienta a gusto.","Se majan los ajíes y se ponen en el vinagre durante unas ho­ras. Luego se sacan y en el mismo vinagre se marinan las cebollas, el cilantro, el jugo de limón (o de naranja agria), el aceite, sal y pimienta. Puede conservarse por mucho tiempo si está bien tapado.",1,NA,NA,5 minutos por varias horas,5,1,"Ají pique Va l l e Grado de dificultad * | Tiempo de preparación: 5 minutos por varias horas 10 ajíes majados · ¼ libra (125 gr) de cebolla cabezona, picada fina · 2 tallos de cebolla larga, picada fina · ½ taza de cilantro de Castilla, picado fino · 2 tazas de vinagre · 2 cucharadas de jugo de limón (o naranja agria) · 2 cucharadas de aceite (preferiblemente de oliva) · sal y pimienta a gusto. Se majan los ajíes y se ponen en el vinagre durante unas ho­ras. Luego se sacan y en el mismo vinagre se marinan las cebollas, el cilantro, el jugo de limón (o de naranja agria), el aceite, sal y pimienta. Puede conservarse por mucho tiempo si está bien tapado."
ajiaco-bogotano,NA,377,Ajiaco bogotano,Boyacá y Cundinamarca,NA,NA,NA,"16 tazas de agua (pueden sustituirse 4 tazas de agua por 4 de leche) · 1 libra (500 gr) de papas criollas, peladas y cortadas en rodajas · 2 libras (1 kg) de papas paramunas, peladas y cortadas en rodajas · 11⁄2 libra (750 gr) de papas sabaneras, peladas y cortadas en rodajas · 3 libras (11⁄2 kg) de pechugas de pollo (o dos pollos despresados) · 4 mazorcas tiernas, partidas en trozos · 3 tallos de cebolla larga · 4 dientes de ajo triturados · 1 ramo de guascas · 1 rama de cilantro · 11⁄2 taza de crema de leche · 1 taza de alcaparras · 4 aguacates medianos, partidos · sal y pimienta a gusto.","Se ponen las pechugas (o las presas de pollo), las papas, la cebolla larga, los ajos, sal y pimienta a cocinar en el agua y la leche mezclados, durante unos 45 minutos o 1 hora (hasta que las car­nes estén blandas y las papas criollas y paramunas, disueltas). Se sacan las pechugas (o las presas) y la cebolla. Al caldo se le agregan las mazorcas, que se han cocinado aparte, y se deja conservar a fuego lento hasta lograr la densidad deseada. Se le añaden las guascas 5 minutos antes de servirlo. Si el pollo se va a ofrecer deshuesado y deshilachado, se agrega al ajiaco en el momento de servirlo o también hay quien lo prefiere aparte. Si las presas van enteras, se pone una por­ción en cada plato. También se pueden servir las carnes des­hilachadas mezcladas con la crema, pues quedan con mejor apariencia. Este apetitoso plato se acompaña con ají de aguacate, ají de yerbas o, simplemente, con tajadas de aguacate. Las alcapa­rras, la crema de leche y el cilantro se sirven aparte. Las mazorcas se sirven enteras o desgranadas con el ajiaco o si se prefiere, aparte.",2,8,10,1½ hora,90,0,"El ajiaco se prepara de diferentes maneras, generalmente con los mismos ingredien- tes en distintas proporciones, aunque se puede cambiar el pollo por carne de res. 16 tazas de agua (pueden sustituirse 4 tazas de agua por 4 de leche) · 1 libra (500 gr) de papas criollas, peladas y cortadas en rodajas · 2 libras (1 kg) de papas paramunas, peladas y cortadas en rodajas · 11⁄2 libra (750 gr) de papas sabaneras, peladas y cortadas en rodajas · 3 libras (11⁄2 kg) de pechugas de pollo (o dos pollos despresados) · 4 mazorcas tiernas, partidas en trozos · 3 tallos de cebolla larga · 4 dientes de ajo triturados · 1 ramo de guascas · 1 rama de cilantro · 11⁄2 taza de crema de leche · 1 taza de alcaparras · 4 aguacates medianos, partidos · sal y pimienta a gusto. Se ponen las pechugas (o las presas de pollo), las papas, la cebolla larga, los ajos, sal y pimienta a cocinar en el agua y la leche mezclados, durante unos 45 minutos o 1 hora (hasta que las carnes estén blandas y las papas criollas y paramunas, disueltas). Se sacan las pechugas (o las presas) y la cebolla. Al caldo se le agregan las mazorcas, que se han cocinado aparte, y se deja conservar a fuego lento hasta lograr la densi- dad deseada. Se le añaden las guascas 5 minutos antes de servirlo. Si el pollo se va a ofrecer deshuesado y deshilachado, se agrega al ajiaco en el momento de servirlo o también hay quien lo pre ere aparte. Si las presas van enteras, se pone una porción en cada plato. También se pueden servir las carnes deshilachadas mezcladas con la crema, pues quedan con mejor apariencia. Este apetitoso plato se acompaña con ají de aguacate, ají de yerbas o, simplemente, con tajadas de aguacate. Las alcaparras, la crema de leche y el cilantro se sirven aparte. Las mazorcas se sirven enteras o desgranadas con el ajiaco o si se pre ere, aparte."
ajisero-en-leche,127,127,Ajisero en leche,Llanos y Amazonia,Llanos,NA,NA,"½ litro de leche hervida · 2 ajíes pimentones · 3 dientes de ajo, ma­jados · ají chirere (pique) [ver p. 159] a gusto · sal.","Se mezcla todo, se revuelve bien y se deja descansar. Antes de embotellarlo, se re- vuelve bien nuevamente. Es casi in­dispensable en toda mesa llanera para aderezar casi todas las comidas saladas.",1,NA,NA,15 minutos,15,NA,"Ajisero en leche Llanos Compañero del hervío o sancocho Grado de dificultad * | Tiempo de preparación: 15 minutos ½ litro de leche hervida · 2 ajíes pimentones · 3 dientes de ajo, ma­jados · ají chirere (pique) [ver p. 159] a gusto · sal. Se mezcla todo, se revuelve bien y se deja descansar. Antes de embotellarlo, se re- vuelve bien nuevamente. Es casi in­dispensable en toda mesa llanera para aderezar casi todas las comidas saladas."
albondigas,239,325,Albóndigas,Costa Atlántica,Cesar,NA,NA,"1 libra (500 gr) de carne de res, molida · 1 libra (500 gr) de carne de cerdo, molida · 2 cucharadas de fécula de maíz · 2 huevos, ba­tidos · 2 cebollas cabezonas, finamente picadas · 3 dientes de ajo, majados · 1 cucharada de mostaza · ½ taza de cerveza · 2 ajíes dulces, picados · ¼ taza de alcaparras, molidas · 1 cucharada de cilantro, finamente picado · sal, comino y pimienta a gusto. ½ taza de vinagre · ¼ taza de aceite achiotado · 1 taza de agua · 1 cucharada de harina de trigo · 3 cucharadas de guiso [ver p. 319].","Salsa Para preparar la salsa se disuelve la harina en el agua, se mez­cla con el vinagre, el guiso y el aceite y se lleva a cocinar, re­volviendo, durante 10 minutos. Se amasan las carnes y poco a poco se va incorporando la fé­cula, los huevos, las cebollas, los ajos, la mostaza, la cerveza, los ajíes, las alcaparras, el cilantro y los aliños, sin dejar de amasar. Se forman las albóndigas y se dejan descansar 15 minutos. Se calienta la salsa y se ponen las albón- digas a con­servar durante 35 minutos aproximadamente, sin tapar la olla, hasta que se vean cocidas y la salsa esté espesa. Se sirve sobre una capa de arroz blanco.",2,10,12,1¼ hora,75,NA,"Albóndigas Cesar Grado de dificultad ** | Tiempo de cocción: 1¼ hora | Raciones: 10 a 12 1 libra (500 gr) de carne de res, molida · 1 libra (500 gr) de carne de cerdo, molida · 2 cucharadas de fécula de maíz · 2 huevos, ba­tidos · 2 cebollas cabezonas, finamente picadas · 3 dientes de ajo, majados · 1 cucharada de mostaza · ½ taza de cerveza · 2 ajíes dulces, picados · ¼ taza de alcaparras, molidas · 1 cucharada de cilantro, finamente picado · sal, comino y pimienta a gusto. Salsa ½ taza de vinagre · ¼ taza de aceite achiotado · 1 taza de agua · 1 cucharada de harina de trigo · 3 cucharadas de guiso [ver p. 319]. Para preparar la salsa se disuelve la harina en el agua, se mez­cla con el vinagre, el guiso y el aceite y se lleva a cocinar, re­volviendo, durante 10 minutos. Se amasan las carnes y poco a poco se va incorporando la fé­cula, los huevos, las cebollas, los ajos, la mostaza, la cerveza, los ajíes, las alcaparras, el cilantro y los aliños, sin dejar de amasar. Se forman las albóndigas y se dejan descansar 15 minutos. Se calienta la salsa y se ponen las albón- digas a con­servar durante 35 minutos aproximadamente, sin tapar la olla, hasta que se vean cocidas y la salsa esté espesa. Se sirve sobre una capa de arroz blanco."
